Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,,,,,,,
1,0,0.154,0.047,0.039,0.004,50.3,40.8,9.5,379.9,372.5,7.4,0.00149,0.00298,39,7,2,1,0,1,,,,,,,,,,,
2,0,0.134,0.040,0.038,0.007,45.1,36.3,8.8,251.4,243.7,7.7,0.00141,0.00282,19,7,2,1,0,1,,,,,,,,,,,
3,0,0.134,0.044,0.041,0.004,49.7,41.3,8.4,375.3,368.1,7.2,0.00131,0.00262,34,7,2,1,0,1,,,,,,,,,,,
4,0,0.101,0.025,0.041,0.006,35.8,28.2,7.6,170.8,164.1,6.7,0.00133,0.00265,17,7,2,1,0,1,,,,,,,,,,,
1,1,0.154,0.060,0.039,0.006,41.7,30.3,11.4,277.1,268.9,8.2,0.00177,0.00355,26,7,3,1,0,0,,,,,,,,,,,
1,4,0.076,0.016,0.048,0.005,13.9,6.4,7.5,39.5,32.1,7.4,0.00255,0.00511,15,7,3,1,0,0,,,,,,,,,,,
2,1,0.171,0.068,0.040,0.003,48.2,37.7,10.5,414.2,405.8,8.4,0.00174,0.00349,57,7,3,1,0,0,,,,,,,,,,,
2,2,0.153,0.050,0.038,0.005,35.3,26.1,9.2,239.3,233.7,5.6,0.00210,0.00419,31,7,3,1,0,0,,,,,,,,,,,
2,3,0.099,0.027,0.041,0.005,20.6,12.8,7.8,74.3,68.6,5.7,0.00228,0.00456,20,7,3,1,0,0,,,,,,,,,,,
3,2,0.167,0.056,0.040,0.003,36.6,27.7,8.9,307.9,301.5,6.4,0.00224,0.00448,56,7,3,1,0,0,,,,,,,,,,,
3,4,0.103,0.026,0.051,0.003,16.5,8.9,7.6,71.1,63.1,8.0,0.00303,0.00606,34,7,3,1,0,0,,,,,,,,,,,
4,3,0.134,0.057,0.041,0.006,24.9,18.3,6.6,150.2,145.6,4.6,0.00257,0.00514,22,7,3,1,0,0,,,,,,,,,,,
4,4,0.136,0.045,0.046,0.005,20.6,14.5,6.1,135.9,130.6,5.3,0.00318,0.00636,27,7,3,1,0,0,,,,,,,,,,,
4,6,0.081,0.018,0.065,0.004,8.6,2.9,5.7,23.6,14.3,9.3,0.00448,0.00895,20,7,3,1,0,0,,,,,,,,,,,
