Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
5,3,0.158,62,44,0.005,26.4,20.2,6.2,208,202.7,5.3,0.0029,0.0058,32,1,3,1,0,0,,,,,
5,6,0.092,15,59,0.003,6.4,3,3.4,26,19.9,6.1,0.00695,0.01391,31,1,3,1,0,0,,,,,
1,0,0.16,48,48,0.003,44.9,37.1,7.8,343,334.5,8.5,0.00175,0.0035,53,1,3,1,0,0,,,,,
2,0,0.171,53,38,0.005,54.9,49.6,5.3,477.7,470.7,7,0.00151,0.00302,34,1,3,1,0,0,,,,,
1,1,0.109,NaN,NaN,NaN,37.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
1,0,0.12,NaN,NaN,NaN,42.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
2,1,0.141,NaN,NaN,NaN,43.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
2,2,0.119,NaN,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
2,3,0.085,NaN,NaN,NaN,20.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
2,4,0.06,NaN,NaN,NaN,12.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
2,0,0.111,NaN,NaN,NaN,52.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
3,1,0.146,NaN,NaN,NaN,43.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
3,2,0.134,NaN,NaN,NaN,33.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
3,3,0.094,NaN,NaN,NaN,20.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
3,4,0.074,NaN,NaN,NaN,15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
3,5,0.086,NaN,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
4,1,0.169,NaN,NaN,NaN,47.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
4,2,0.152,NaN,NaN,NaN,36.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,
